iter	Passed	Remaining
399	37741	37741
400	37855	37666
401	37960	37583
402	38060	37493
403	38161	37405
404	38270	37325
405	38375	37240
406	38477	37154
407	38583	37070
408	38699	36996
409	38801	36909
410	38908	36826
411	39017	36744
412	39120	36657
413	39217	36565
414	39332	36489
415	39435	36402
416	39541	36317
417	39647	36232
418	39764	36157
419	39868	36071
420	39971	35983
421	40070	35892
422	40174	35805
423	40275	35715
424	40387	35636
425	40486	35544
426	40583	35451
427	40673	35352
428	40775	35262
429	40874	35171
430	40997	35099
431	41129	35035
432	41265	34975
433	41365	34884
434	41467	34794
435	41561	34697
436	41658	34604
437	41762	34516
438	41881	34439
